"key","message","comment","context"
"Certificate of conformity","Chứng nhận hợp quy",,
"Certificate of conformity title","Tiêu đề chứng nhận hợp quy",,
"Change allocated qty","Thay đổi số lượng đã phân bổ",,
"Check Duplicate","Kiểm tra trùng lặp",,
"Code","Mã số",,
"Collected","Đã thu thập",,
"Collection date","Ngày thu thập",,
"Comment to display on picking order","Chú thích hiển thị trên đơn đặt hàng",,
"Comment to display on stock move","Chú thích hiển thị khi luân chuyển kho",,
"Comments","Chú thích",,
"Commercial regularization resulting in value increase","Chính quy hóa thương mại làm tăng giá trị",,
"Commercial regularization resulting in value reduction","Chính quy hóa thương mại dẫn đến giảm giá trị",,
"Company","Công ty",,
"Company Unit price W.T.","Đơn giá chưa thuế",,
"Company account","Tài khoản công ty",,
"Company address is empty.","Địa chỉ công ty trống.",,
"Company cannot be null.","Công ty không được để trống.",,
"Company missing for stock location %s","Thiếu công ty cho vị trí kho %s",,
"Complete","Hoàn thành",,
"Completed","Hoàn thành",,
"Compliant","Tuân thủ",,
"Compliant arrival product qty","Sản phẩm đến tuân thủ Qty",,
"Configuration","Cấu hình",,
"Configuration is missing in stock configuration to see financial data","Cấu hình bị thiếu trong cấu hình cổ phiếu để xem dữ liệu tài chính",,
"Confirm cancellation","Xác nhận hủy bỏ",,
"Conformity","Hợp quy",,
"Conformity Certificates","Chứng nhận hợp quy",,
"Conformity certificate","Chứng nhận hợp quy",,
"ConformityCertificate.certificateNumber","Số chứng nhận",,
"ConformityCertificate.customerName","Tên khách hàng",,
"ConformityCertificate.designation","Sự chỉ định",,
"ConformityCertificate.externalReference","Tham khảo bên ngoài",,
"ConformityCertificate.function","Chức năng",,
"ConformityCertificate.lotNoRef","Số Lô tham chiếu",,
"ConformityCertificate.name","Tên",,
"ConformityCertificate.numberAndDateDelivery","Số và Ngày giao hàng",,
"ConformityCertificate.orderDate","Ngày đặt hàng",,
"ConformityCertificate.orderNumber","Mã đơn hàng",,
"ConformityCertificate.partNumber","Mã linh kiện",,
"ConformityCertificate.qtyUnit","Đơn vị đếm",,
"ConformityCertificate.quantity","Số lượng",,
"ConformityCertificate.sequence","Mã tăng",,
"ConformityCertificate.signature","Chữ ký",,
"ConformityCertificate.stockMoveLineRowNum","Hàng",,
"Consignments by post","Gửi hàng qua đường bưu điện",,
"Control on Receipt","Kiểm soát khi nhận",,
"Correction Reason","Lý do điều chỉnh",,
"Counter","Máy đếm",,
"Country","Quốc gia",,
"Country of origin","Quốc gia xuất xứ",,
"Create inventory","Tạo kiểm kê",,
"Current","Hiện hành",,
"Current Qty","Số lượng hiện tại",,
"Current Quantity","Số lượng hiện tại",,
"Current quantity problem","Vấn đề số lượng hiện tại",,
"Cust. Shipment to prepare","Lô hàng chuẩn bị giao khách",,
"Customer account","Tài khoản khách hàng",,
"Customer account number","Số tài khoản khách hàng",,
"Customer account number to carrier","Tài khoản khách hàng để vận chuyển",,
"Customer account numbers to carriers","Tài khoản khách hàng để vận chuyển",,
"Customer average delivery delay","Độ trễ giao hàng trung bình của khách hàng",,
"Customer deliveries","Giao hàng cho KH",,
"Customer deliveries by country","Giao hàng của khách hàng theo quốc gia",,
"Customer deliveries filters","Bộ lọc giao hàng của khách hàng",,
"Customer deliveries statistics","Thống kê giao hàng của khách hàng",,
"Customer order ref.","Tham chiếu đơn hàng",,
"Customer returns","Hàng trả lại KH",,
"Customer virtual stock location","Vị trí kho ảo của khách hàng",,
"Customs","Hải quan",,
"Customs code","Mã hải quan",,
"Customs code nomenclature","Danh pháp mã hải quan",,
"Customs code nomenclature:all","Danh pháp mã hải quan: tất cả",,
"Dashboard","Bảng thông tin",,
"Dashlet.Moves","Luân chuyển",,
"Data is null or empty","Dữ liệu rỗng hoặc trống",,
"Date","Ngày",,
"Dates","Ngày",,
"Days","Ngày",,
"Deallocate","Giải phóng",,
"Deallocate all","Giải phóng tất cả",,
"Declaration of exchanges for %s is not supported.","Tuyên bố trao đổi cho %s không được hỗ trợ.",,
"Default external stock location","Vị trí kho bên ngoài mặc định",,
"Default from stock location for sales and to stock location for purchases","Mặc định từ kho bán đến kho mua",,
"Default signatory user","Người ký mặc định",,
"Default stock location","Kho mặc định",,
"Default to stock location for sales and from stock location for purchases","Mặc định từ kho bán đến kho mua",,
"Default unit","Đơn vị mặc định",,
"Defense or intergovernmental program","Chương trình quốc phòng hoặc liên chính phủ",,
"Define ideal Qty","Xác định số lượng lý tưởng",,
"Define max Qty","Xác định số lượng tối đa",,
"Delay","Trì hoãn",,
"Delayed invoicing","Hóa đơn bị hoãn",,
"Deliver to customer","Giao hàng cho khách hàng",,
"Deliver to customer is not set.","Giao hàng cho khách hàng chưa được thiết lập.",,
"Deliveries","Giao hàng",,
"Deliveries Cancelled","Giao hàng bị hủy bỏ",,
"Deliveries Details","Chi tiết giao hàng",,
"Deliveries History","Lịch sử giao hàng",,
"Deliveries to prepare","Giao hàng cần chuẩn bị",,
"Delivery delay (days)","Giao hàng chậm trễ (ngày)",,
"Delivery for trial sale","Giao hàng cho bán thử",,
"Delivery number","Mã giao hàng",,
"Delivery stock move","Giao hàng chuyển kho",,
"Deported stock location","Vị trí kho bị trục xuất",,
"Description","Mô tả",,
"Detail","Chi tiết",,
"Detail line(s) not inside a parcel/pallet","(Các) Dòng chi tiết không có bên trong bưu kiện / pallet",,
"Detailed stock","Chi tiết kho",,
"Details","Thông tin chi tiết",,
"Details stock location lines","Chi tiết dòng kho hàng",,
"Dimensions (cm)","Kích thước (cm)",,
"Display accounting value in location financial data printing","Hiển thị giá trị kế toán trong địa điểm in dữ liệu tài chính",,
"Display available tracking numbers","Hiển thị mã truy vết có sẵn",,
"Display average price in printing","Hiển thị giá trung bình khi in",,
"Display barcode on Picking printing","Hiển thị mã vạch khi chọn in",,
"Display customer code on picking printing","Hiển thị mã khách hàng khi chọn in",,
"Display external ref. on certificate of conformity printing","Hiển thị giấy chứng nhận khi in",,
"Display line details on printing","Hiển thị chi tiết dòng khi in",,
"Display order reference and order date","Hiển thị tham chiếu đơn hàng và ngày đặt hàng",,
"Display partner sequence on printing","Hiển thị trình tự đối tác khi in",,
"Display price on printing","Hiển thị giá khi in",,
"Display product code on printing","Hiển thị mã sản phẩm khi in",,
"Display purchase value in location financial data printing","Hiển thị giá mua khi in dữ liệu tài chính vị trí",,
"Display sale value in location financial data printing","Hiển thị giá bán khi in dữ liệu tài chính vị trí",,
"Display tracking number details on Picking printing","Hiển thị chi tiết mã truy vết khi chọn in",,
"Display tracking number details on certificate of conformity printing","Hiển thị chi tiết mã truy vết trên giấy chứng nhận khi in",,
"Do you want to allocate all the products ?","Bạn có muốn phân bổ tất cả các sản phẩm?",,
"Do you want to generate backorder for not delivered quantities?","Bạn có muốn tạo đơn hàng đặt trước cho lượng hàng không được giao không?",,
"Do you want to generate backorder for not received quantities?","Bạn có muốn tạo Backorder cho số lượng không nhận được không?",,
"Draft","Bản thảo",,
"Draft move","Bản thảo chuyển kho",,
"Economic area","Khu vực kinh tế",,
"Electronic signature","Chữ ký điện tử",,
"Email sent","Email đã gửi",,
"Enable product description copy","Bật bản sao mô tả sản phẩm",,
"End date","Ngày kết thúc",,
"Enter tracking numbers","Nhập mã truy vết",,
"Estimated Date","Ngày ước tính",,
"Estimated date","Ngày ước tính",,
"Excl. out of stock products","Loại trừ các sản phẩm hết hàng",,
"Exonerated shipment and transfer","Miễn phí giao hàng và chuyển khoản",,
"Expected Qty","Số lượng dự kiến",,
"Expected/Future Quantity","Số lượng dự kiến/tương lai",,
"Expired product(s): %s","(Các) Sản phẩm hết hạn:% s",,
"Export","Xuất khẩu",,
"Export Type","Loại xuất khẩu",,
"Export customs declaration","Tờ khai hải quan xuất khẩu",,
"External","Bên ngoài",,
"External delivery comment","Nhận xét giao hàng bên ngoài",,
"FIFO","FIFO",,
"Facturation ultérieure","Lần thanh toán tiếp theo",,
"Feature currently not available with Open Street Maps.","Tính năng hiện không khả dụng với bản đồ.",,
"File %s successfully imported.","Đã nhập thành công tệp %s .",,
"File (CSV)","Tệp (CSV)",,
"File Format","Định dạng tệp",,
"Fill inventory","Điền vào hàng tồn kho",,
"Fill inventory with","Điền vào hàng tồn kho với",,
"Filter on available products","Lọc trên các sản phẩm có sẵn",,
"Filters","Bộ lọc",,
"Financial leasing","Cho thuê tài chính",,
"Firm purchase or sale","Mua đứt/ Bán đứt",,
"Fixed transport installations","Cài đặt vận chuyển cố định",,
"Forecasted Stock","Dự báo kho hàng",,
"Forecasts","Dự báo",,
"Forwarder","Giao nhận viên",,
"Freight Carrier","Hãng vận tải",,
"Freight Carrier Mode","Đơn vị vận tải",,
"Freight Carrier Mode form","Biểu mẫu đơn vị vận tải",,
"Freight Carrier Mode grid","Lưới xem đơn vị vận tải",,
"Freight carrier mode","Đơn vị vận tải",,
"Freight carrier mode list","Danh sách đơn vị vận tải",,
"From","Từ",,
"From Date","Từ ngày",,
"From address","Từ địa chỉ",,
"From date","Từ ngày",,
"From rack","Từ giá đỡ",,
"From stock location","Từ kho hàng",,
"Full name","Họ và tên",,
"Fullname","Họ và tên",,
"Fully spread over logistical forms","Trải rộng hết các tờ Logistic",,
"Future","Tương lai",,
"Future Qty","Số lượng tương lai",,
"Future qty","Số lượng tương lai",,
"Gap","Khoảng trống giá",,
"Gap value","Giá trị khoảng trống giá",,
"General","Chung",,
"General Stock Details","Chi tiết tổng kho",,
"Generate invoice","Tạo hóa đơn",,
"Generate new production auto tracking Nbr.","Tạo mã truy vết sản phẩm tự động mới.",,
"Generate new purchase auto tracking Nbr.","Tạo mã truy vết mua hàng tự động mới.",,
"Generate new sale auto tracking Nbr.","Tạo mã truy vết bán hàng tự động mới.",,
"Generate refund","Tạo tiền hoàn lại",,
"Generate reversion","Tạo quyền thu hồi",,
"Generate stock configurations","Tạo cấu hình kho",,
"Gross Mass","Tổng khối lượng",,
"Gross mass","Tổng khối lượng",,
"Group products on printings","Nhóm các sản phẩm trên bản in",,
"Historical Period","Thời kỳ lịch sử",,
"ISPM standard required","Chuẩn ISPM bắt buộc",,
"Ideal Qty","Số lượng lí tưởng",,
"Import customs clearance","Thông quan nhập khẩu",,
"Import duties and taxes","Thuế nhập khẩu và thuế",,
"In progress","Đang tiến hành",,
"Incl. obsolete products","Bao gồm sản phẩm cũ",,
"Incl. sub location stock","Bao gồm kho phụ",,
"Include out of stocks products","Bao gồm các sản phẩm hết hàng",,
"Include virtual sub location","Bao gồm kho phụ ảo",,
"Incoming amount","Số lượng đến",,
"Incoming move","Biên lai/ Hóa đơn",,
"Incoming move information","Thông tin biên lai/ hóa đơn",,
"Incoming move lines","Dòng biên lai/ hóa đơn",,
"Incoming quantity","Số lượng đầu vào",,
"Incorrect product for stock correction","Sản phẩm không chính xác để điều chỉnh kho",,
"Incorrect product in inventory line","Sản phẩm không chính xác trong dòng hàng tồn kho",,
"Incoterm","Incoterm",,
"Incoterm Code","Mã incoterm",,
"Incoterm Name","Tên incoterm",,
"Incoterms","Các điều khoản thương mại quốc tế",,
"Insurance","Bảo hiểm",,
"Internal","Nội bộ",,
"Internal Stock Move filters","Bộ lọc chuyển kho nội bộ",,
"Internal Stock Moves","Chuyển kho nội bộ",,
"Internal delivery comment","Nhận xét giao hàng nội bộ",,
"Internal move","Chuyển kho nội bộ",,
"Internal move information","Thông tin chuyển kho nội bộ",,
"Internal move lines","Chi tiết di chuyển nội bộ",,
"Internal number","Mã đơn bán",,
"Internal stock move","Chuyển kho nội bộ",,
"Intracommunity acquisition taxable in france","Mua lại nội bộ chịu thuế ở Pháp",,
"Invalid dimensions on packing line No. %d","Kích thước không hợp lệ trên dây chuyền đóng gói số %d",,
"Invalid field dimensions","Kích thước trường không hợp lệ",,
"Inventories","Tồn kho",,
"Inventories History","Lịch sử hàng tồn kho",,
"Inventories filters","Bộ lọc hàng tồn kho",,
"Inventory","Hàng tồn kho",,
"Inventory Calendar","Lịch hàng tồn kho",,
"Inventory N°","Số hàng tồn kho",,
"Inventory Title","Tiêu đề hàng tồn kho",,
"Inventory line","Chi tiết hàng tồn kho",,
"Inventory lines","Chi tiết hàng tồn kho",,
"Inventory valuation type","Loại định giá hàng tồn kho",,
"Inventory virtual stock location","Kho ảo hàng tồn",,
"Inventory's lines' list has been filled.","Danh sách cửa hàng tồn kho đã được điền.",,
"Inventory.barcode","Mã vạch",,
"Inventory.category","Danh mục",,
"Inventory.code","Mã",,
"Inventory.company","Công ty",,
"Inventory.createdOn","Ngày tạo",,
"Inventory.date","Ngày",,
"Inventory.description","Mô tả",,
"Inventory.fromRack","Rack",,
"Inventory.lastInventoryDate","Ngày cuối kiểm kê",,
"Inventory.plannedEndDateT","Ngày kết thúc dự kiến",,
"Inventory.plannedStartDateT","Ngày bắt đầu dự kiến",,
"Inventory.product","Sản phẩm",,
"Inventory.productCategory","danh mục sản phẩm",,
"Inventory.productFamily","Dòng sản phẩm",,
"Inventory.rack","Rack",,
"Inventory.realQty","Số lượng thực",,
"Inventory.stockLocation","Vị trí kho",,
"Inventory.title","Tiêu đề",,
"Inventory.toRack","Rack đén",,
"Inventory.trackingNumber","Mã theo dõi",,
"Inventory.unit","Đơn vị",,
"Invoiced","Hóa đơn",,
"Is ISPM15 required","Chuẩn ISPM15 là bắt buộc",,
"Is avg price changed","Giá trung bình có thay đổi không",,
"Is certificate of conformity required","Có phải chứng nhận hợp quy không",,
"Is certificate of conformity signed","Chứng nhận hợp quy có được ký không",,
"Is reversion","Đảo ngược không",,
"LIFO","LIFO",,
"Label","Nhãn mác",,
"Last Future Stock Move","Chuyển kho gần nhất trong tương lai",,
"Last Inventory date","Ngày cuối kiểm kê",,
"Last inventory","Kiểm kê gần đây nhất",,
"Last inventory date","Ngày cuối kiểm kê",,
"Last inventory real qty","Số lượng thực tế làn cuối kiểm kê",,
"Late Deliveries","Giao hàng muộn",,
"Late customer deliveries","Giao hàng khách hàng muộn",,
"Late supplier arrivals","Nhà cung cấp đến muộn",,
"Line length too big","Chiều dài dòng quá lớn",,
"Lines","Chi tiết",,
"Links","Liên kết",,
"Loading on truck in port of import","Xếp hàng lên xe tại cảng nhập khẩu",,
"Loading on vessel/airplane in port of export","Xếp hàng lên tàu/ máy bay tại cảng xuất khẩu",,
"Location Content","Nội dung vị trí",,
"Location Lines","Dòng vị trí",,
"Location content","Nội dung vị trí",,
"Location content details","Chi tiết nội dung vị trí",,
"Location financial data","Vị trí dữ liệu tài chính",,
"Logistical form","Phiếu giao vận",,
"Logistical form filters","Bộ lọc phiếu giao vận",,
"Logistical form lines","Chi tiết phiếu giao vận",,
"Logistical forms","Phiếu giao vận",,
"Manage backorder","Quản lý nợ hàng",,
"Manage backorder?","Quản lý nợ hàng?",,
"Manage production tracking Nbr.","Quản lý mã truy vết sản phẩm.",,
"Manage purchase tracking Nbr.","Quản lý mã truy vết mua hàng.",,
"Manage sale tracking Nbr.","Quản lý mã truy vết bán hàng.",,
"Manufacturing order","Đơn đặt hàng sản xuất",,
"Map","Bản đồ",,
"Materials for construction contract","Nguyên vật liệu cho hợp đồng xây dựng",,
"Max stock","Tồn kho tối đa",,
"Max stock date","Ngày tồn kho tối đa",,
"Max. Qty","Số lượng tối đa",,
"Message template","Mẫu thông báo",,
"Message template for stock rules","Mẫu thông báo cho quy tắc tồn kho",,
"Min stock","Tồn kho tối thiểu",,
"Min stock date","Ngày tồn kho tối thiểu",,
"Min. Qty","Số lượng tối thiểu",,
"Missing","Còn thiếu",,
"Missing logistical form sequence for company %s","Thiếu mã tăng tờ logistic cho công ty %s",,
"Mode of transport","Phương thức vận tải",,
"Month","Tháng",,
"Move canceled","Chuyển kho bị hủy",,
"Move created","Chuyển kho được tạo",,
"Move date","Ngày chuyển kho",,
"Move details","Chi tiết chuyển kho",,
"Move realized","Thực hiển chuyển kho",,
"Moves Cancelled","Chuyển kho bị hủy",,
"Moves History","Lịch sử chuyển kho",,
"Moves To Prepare","Chuyển hàng để chuẩn bị",,
"Must set mass unit in stock configuration for customs.","Phải thiết lập đơn vị khối lượng trong cấu hình kho hàng cho hải quan.",,
"Name","Tên",,
"Nature of transaction","Bản chất giao dịch",,
"Nbr of incoming moves","Số của lượt chuyển hàng đến",,
"Nbr of outgoing moves","Số của lượt chuyển hàng đi",,
"Net mass","Khối lượng thực",,
"No","Không",,
"No Tracking Numbers Added","Không có mã truy vết được thêm vào",,
"No economic area is configured for %s.","Không có khu vực kinh tế được cấu hình cho %s.",,
"No inventory lines has been created.","Không có dòng hàng tồn kho nào được tạo.",,
"No move lines to split","Không có dòng điều chuyển hàng nào để chia",,
"No new stock move was generated","Không có hoạt động điều chuyển hàng nào mới được tạo",,
"No record found","Không có dữ liệu được tìm thấy",,
"No reversion generated","Không có thu hồi được tạo ra",,
"No stock correction needed, current quantity in stock equals real quantity.","Không cần chỉnh kho, số lượng hiện có trong kho bằng số lượng thực tế",,
"No stock moves found for this inventory.","Không có hoạt động điều chuyển hàng nào trong lần kiểm kê này",,
"Non temporary implying transfer of property without compensation","Không tạm thời chuyển nhượng tài sản mà không có bồi thường",,
"Non-compliant","Không tuân thủ",,
"Not invoiced","Không lập hóa đơn",,
"Note","Ghi chú",,
"Notes","Ghi chú",,
"Number Of Packages","Số lượng gói",,
"Number Of Palettes","Số lượng Pallet",,
"Number of periods","Số lượng kì",,
"ODS","ODS",,
"Old qty","Số lượng cũ",,
"OnTime Deliveries","Giao hàng tại thời gian",,
"Operation after custom work return to initial state","Hoạt động sau khi công việc tùy chỉnh trở lại trạng thái ban đầu",,
"Operation after custom work return to other state","Hoạt động sau khi công việc tùy chỉnh trở lại trạng thái ban đầu",,
"Operation order","Lệnh vận hành",,
"Operations for custom work non return","Hoạt động cho công việc làm theo yêu cầu không trả lại",,
"Operations for custom work return","Hoạt động cho công việc làm theo yêu cầu trả lại",,
"Origin","Nguồn gốc",,
"Origin Id","ID gốc",,
"Origin Type","Loại nguồn gốc",,
"Origin stock move","Nguồn gốc hoạt động điều chuyển hàng",,
"Other expeditions","Các cuộc thám hiểm khác",,
"Other introductions","Lời giới thiệu khác",,
"Other returns","Các khoản trả lại khác",,
"Other transactions","Các giao dịch khác",,
"Outgoing amount","Số tiền đi",,
"Outgoing move","Chuyển hàng đi",,
"Outgoing move information","Thông tin chuyển hàng đi",,
"Outgoing move lines","Chi tiết chuyển hàng đi",,
"Outgoing quantity","Số lượng đi",,
"Outsourcing receipt stock location","Biên lai gia công kho hàng",,
"Own propulsion","Động cơ riêng",,
"PDF","PDF",,
"PFP authorized","PFP được ủy quyền",,
"PFP litigation","PFP đang tranh chấp",,
"Packing line","Dây chuyền đóng gói",,
"Packing lines","Dây chuyền đóng gói",,
"Pallet","Pallet",,
"Pallet %d is empty.","Pallet %d trống",,
"Parcel","Bưu kiện ",,
"Parcel %d is empty.","Bưu kiện %d trống.",,
"Parcel/pallet number","Số bưu kiện/pallet",,
"Parent customs code","Mã hải quan",,
"Parent stock location","Vị trí kho chính",,
"Partial stock move (From","Điều chuyển hàng một phần ( từ",,
"Partially available","Có sẵn một phần",,
"Partially invoiced","Được lập hóa đơn một phần",,
"Partner","Đối tác",,
"Partner is missing.","Thiếu đối tác.",,
"Partner mismatch: %s","Đối tác không phù hợp: %s",,
"Partner product quality rating","Đánh giá chất lượng sản phẩm đối tác",,
"Partner product quality ratings","Đánh giá chất lượng sản phẩm đối tác",,
"Partner stock settings","Cài đặt kho đối tác",,
"Period","Kỳ",,
"Perishable expiration date","Ngày hết hạn có thể bị hư hỏng",,
"Picking order edit date","Chọn ngày chỉnh sửa đơn đặt hàng",,
"Picking order has been edited for this stock move, it can not be canceled.","Đơn hàng đã được chỉnh sửa cho việc chuyển kho này, nó không thể bị hủy bỏ.",,
"Picking order is edited","Chọn đơn hàng đã chỉnh sửa",,
"Picking order printing detailed","Chọn in chi tiết đơn hàng",,
"Picking printed","Chọn đã in",,
"PickingStockMove.aspect","Phương diện",,
"PickingStockMove.code","Mã",,
"PickingStockMove.customerCode","Mã khách hàng",,
"PickingStockMove.deliveryCondition","Điều kiện giao hàng",,
"PickingStockMove.externalReference","Tham chiếu từ khách",,
"PickingStockMove.lineNumber","Số dòng",,
"PickingStockMove.manual","Hướng dẫn sử dụng",,
"PickingStockMove.mark","Đánh dấu",,
"PickingStockMove.note","Ghi chú",,
"PickingStockMove.qty","Số lượng",,
"PickingStockMove.signaling","Báo hiệu",,
"PickingStockMove.visa","Visa",,
"PickingStockMove.weekCode","Mã tuần",,
"PickingStockMove.withWithout","Không có",,
"Pickup default stock location","Vị trí kho cố định",,
"Plan","Kế hoạch",,
"Planned","Kế hoạch",,
"Planned End Date","Ngày kết thúc kế hoạch",,
"Planned Inventories","Kế hoạch kiểm kê",,
"Planned Start Date","Ngày bắt đầu kế hoạch",,
"Planned move","Kế hoạch di chuyển",,
"Planned stock move","Kế hoạch điều chuyển hàng",,
"Planned stock move line list","Danh sách chuyển kho theo kế hoạch",,
"Planned stock move lines","Chi tiết chuyển kho theo kế hoạch",,
"Please configure mass units for this product packing : %s","Vui lòng cấu hình đơn vị khối lượng cho bao bì sản phẩm này: %s",,
"Please enter a valid split quantity","Vui lòng nhập giá trị phân chia số lượng",,
"Please fill all inventory lines","Vui lòng điền vào tất cả các dòng hàng tồn kho",,
"Please fill estimated delivery date for product %s from %s","Vui lòng điền ngày giao hàng dự kiến cho sản phẩm %s từ %s",,
