"key","message","comment","context"
"SaleOrder.subscriptionContract","Hợp đồng đăng ký",,
"SaleOrder.supplier","Nhà cung cấp",,
"SaleOrder.supplyRef","Tài liệu nhà cung cấp",,
"SaleOrder.tax","Thuế",,
"SaleOrder.taxAmount","Số tiền thuế",,
"SaleOrder.totalDiscount","Tổng chiết khấu",,
"SaleOrder.totalExclTax","Tổng trước thuế",,
"SaleOrder.totalExclTaxWithoutDiscount","Tổng trước thuế không bao gồm chiết khấu",,
"SaleOrder.totalInclTax","Tổng sau thuế",,
"SaleOrder.totalTax","Tổng thuế",,
"SaleOrder.unitPrice","Đơn giá",,
"SaleOrder.validityDate","Ngày có hiệu lực",,
"SaleOrderLine.endOfPack","Kết thúc gói",,
"SaleOrderLine.total","Tổng",,
"Sales","Bán hàng",,
"Sales Manager","Quản lý kinh doanh",,
"Sales Manager Details","Chi tiết quản lý bán hàng",,
"Sales Order filters","Bộ lọc đơn hàng bán hàng",,
"Sales TurnOver by Product this year vs last year","Doanh thu bán hàng theo sản phẩm năm nay so với năm ngoái",,
"Sales Turnover (Orders) by month by category","Doanh thu bán hàng (đơn đặt hàng) theo tháng theo danh mục",,
"Sales Turnover This year vs Last year","Doanh thu bán hàng năm nay so với năm ngoái",,
"Sales Turnover YTD vs Last year by Product Accounting Family","Doanh thu bán hàng YTD vs năm ngoái bởi họ kế toán sản phẩm",,
"Sales distribution per product accounting family","Phân phối bán hàng cho mỗi họ kế toán sản phẩm",,
"Sales distribution per product category","Phân phối bán hàng trên mỗi loại sản phẩm",,
"Sales follow-up","Theo dõi bán hàng",,
"Sales order","Đơn đặt hàng",,
"Sales per country","Bán hàng cho mỗi quốc gia",,
"Sales turnover comparison per month this year vs past years","So sánh doanh thu bán hàng mỗi tháng trong năm nay so với các năm qua",,
"Sales turnover comparison per month this year vs past years by accounting family","So sánh doanh thu bán hàng mỗi tháng trong năm nay so với các năm qua bởi họ kế toán",,
"Sales turnover this year vs last year","Doanh thu bán hàng năm nay so với năm ngoái",,
"Sales turnover this year vs past years","Doanh thu bán hàng năm nay so với những năm trước",,
"Sales unit","Đơn vị bán hàng",,
"Salesperson","Nhân viên bán hàng",,
"Salesperson Details","Chi tiết nhân viên bán hàng",,
"Schedule Event","Lịch trình sự kiện",,
"See quotation lines","Xem các dòng trích dẫn",,
"See sale orders lines","Xem các dòng đơn đặt hàng",,
"See stock details","Xem chi tiết cổ phiếu",,
"Select this optional complementary product","Chọn sản phẩm bổ sung tùy chọn này",,
"Selected","Đã chọn",,
"Send email","Gửi email",,
"Separate in a new quotation","Tách biệt trong một báo giá mới",,
"Seq.","Mã tăng",,
"Settings","Cài đặt",,
"Shipping costs","Chi phí vận chuyển",,
"Short legal note to be displayed on sales order","Ghi chú pháp lý ngắn được hiển thị trên đơn đặt hàng",,
"Show Total","Hiển thị tổng số",,
"Show on configurator","Hiển thị trên cấu hình",,
"Show total","Hiển thị tổng số",,
"So line creator","Người tạo chi tiết đơn đặt hàng",,
"Specific notes","Ghi chú cụ thể",,
"Specific package","Gói cụ thể",,
"Specific tax note","Lưu ý thuế cụ thể",,
"Specify a boolean expression to collapse/expend this panel.","Chỉ định một biểu thức boolean để collapse/expend this panel.",,
"Specify the default span for child items. Default value is 6.","Chỉ định nhịp mặc định cho các mục trẻ em. Giá trị mặc định là 6.",,
"Specify the number of columns taken by the widget (1,2,..12). Default value is 6.","Chỉ định số lượng cột được thực hiện bởi tiện ích (1,2, .. 12). Giá trị mặc định là 6.",,
"Specify whether given custom field is panel-tab or not. Default value is false (true or false).","Chỉ định xem trường tùy chỉnh được đưa ra có phải là bảng điều khiển hay không. Giá trị mặc định là sai (đúng hoặc sai).",,
"Specify whether the panel is collapsible. Default value is false (true or false).","Chỉ định xem bảng điều khiển có thể thu gọn không. Giá trị mặc định là sai (đúng hoặc sai).",,
"Specify whether to show the title. Default value is true (true or false).","Chỉ định xem có hiển thị tiêu đề hay không. Giá trị mặc định là đúng (đúng hoặc sai).",,
"Standard","Tiêu chuẩn",,
"Standard operation like +, -, *, / can be used and will work correctly with BigDecimal.","Hoạt động tiêu chuẩn như +, -, *, / có thể được sử dụng và sẽ hoạt động chính xác với BigDecimal.",,
"Start date","Ngày bắt đầu",,
"Status","Trạng thái",,
"Stock Moves","Luân chuyển hàng hóa",,
"Stock location","Vị trí kho hàng",,
"Stock moves","Luân chuyển hàng hóa",,
"String interpolation can also be used","Nội suy chuỗi cũng có thể được sử dụng",,
"Sub Total gross profit","Tổng lợi nhuận tổng cộng",,
"Sub Total markup","Tổng số đánh dấu",,
"Sub margin rate","Tỷ lệ biên phụ",,
"SubTotal cost price","Giá chi phí phụ",,
"Subscription","Đăng ký",,
"Subscription text to display","Văn bản đăng ký để hiển thị",,
"Supplier","Nhà cung cấp",,
"Tacit agreement","Thỏa thuận ngầm",,
"Target custom model","Mô hình tùy chỉnh mục tiêu",,
"Tax","Thuế",,
"Tax Equiv","Tương đương thuế",,
"Tax Lines","Dây thuế",,
"Tax number","Số thuế",,
"Taxes","Thuế",,
"Team","Đội",,
"Template","Mẫu",,
"Template created by","Mẫu được tạo bởi",,
