"key","message","comment","context"
"Allow Subscriptions for Sale orders","Cho phép đăng ký cho các đơn bán hàng",,
"Allow complete manually sale order","Cho phép hoàn thành đơn bán hàng theo cách thủ công",,
"Allow finish manually purchase order","Cho phép hoàn thành đơn mua hàng thủ công",,
"Allow timetable invoicing","Cho phép lập hóa đơn theo thời gian biểu",,
"Amount","Số lượng",,
"Amount cannot be superior to the order's total excluding taxes","Số tiền không được cao hơn tổng tiền của đơn đặt hàng không bao gồm thuế",,
"Amount invoiced W.T.","Tổng tiền hóa đơn chưa thuế",,
"Amount remaining to use","Số tiền còn lại để sử dụng",,
"Amount to invoice","Tổng tiền trên hóa đơn",,
"An active stock move (%s) already exists for the sale order %s.","Đã tồn tại một hoạt động điều chuyển kho (%s) cho đơn đặt hàng %s.",,
"An invoice not canceled already exists for the incoming stock move %s","Tồn tại hóa đơn chưa bị hủy cho chuyển kho hàng đến %s",,
"An invoice not canceled already exists for the outgoing stock move %s","Tồn tại hóa đơn chưa bị hủy cho chuyển kho hàng đi %s",,
"Analytic Move Line","Phân tích điều chuyển kho",,
"Analytic distribution lines","Chi tiết phân tích quá trình phân phối",,
"Analytic distribution template","Mẫu phân tích quá trình phân phối",,
"Analytic move lines","Phân tích điều chuyển kho",,
"App","Ứng dụng",,
"App Supplychain","Ứng dụng chuỗi cung ứng",,
"App supplychain","Ứng dụng chuỗi cung ứng",,
"Archived","Lưu trữ",,
"Are you sure you want generate all proposals ?","Bạn có chắc bạn muốn tạo tất cả các đề xuất?",,
"Are you sure you want to run the calculation ? Calculation can take a long time.","Bạn có chắc là bạn muốn chạy phép tính? Phép tính có thể mất nhiều thời gian.",,
"At least one sale order line must be selected","Ít nhất một bản ghi đơn đặt hàng phải được chọn",,
"At least one stock move is in litigation, do you really want to validate passed for payment ?","Ít nhất một hoạt động chuyển hàng đang bị kiện, bạn có muốn xác nhận thanh toán đã thông qua không?",,
"Auto allocate during an availability request","Tự động phân bổ khi có yêu cầu khả dụng",,
"Auto allocate stock on other stock moves","Tự động phân bổ kho cho các hoạt động điều chuyển kho",,
"Auto allocate stock on receipt","Tự động phân bổ kho khi nhận",,
"Auto request reserved qty","Tự động yêu cầu số lượng đặt trước",,
"Availability requests","Yêu cầu khả dụng",,
"Available","Có sẵn",,
"Available status","Trạng thái có sẵn",,
"Available stock","Hàng có sẵn",,
"Batch","Lô",,
"Batch update stock history :","cập nhật hàng loạt lịch sử tồn kho:",,
"Batches","Hàng loạt",,
"Batchs","Hàng loạt",,
"Block deallocation on availability request","Chặn phân bổ ở các yêu cầu khả dụng",,
"Blocked by","Bị chặn bởi",,
"Blocked until","Bị chặn cho đến khi",,
"Blocking reason","Lý do chặn",,
"Budget","Ngân sách",,
"Budget Distribution","Phân phối ngân sách",,
"Budget amount available","Ngân sách có sẵn",,
"Budget distribution","Phân phối ngân sách",,
"Budget distributions","Phân phối ngân sách",,
"Building quantity","Số lượng xây dựng",,
"Buyers","Người mua",,
"Calculation End Date","Ngày kết thúc tính toán",,
"Calculation Start Date","Ngày bắt đầu tính toán",,
"Calculation ended","Phép tính đã kết thúc",,
"Calculation in progress","Phép tính đang trong tiến trình",,
"Calculation started","Phép tính đã bắt đầu",,
"Can only be cancelled from drafted or confirmed forecast.","Chỉ có thể bị hủy khi là bản thảo hoặc dự báo xác nhận.",,
"Can only be confirmed from drafted forecast.","Chỉ có thể được xác nhận từ dự báo soạn thảo.",,
"Can only go back to confirmed if completed.","Chỉ có thể quay lại xác nhận nếu hoàn thành.",,
"Can only return to validated from finished purchase order.","Chỉ có thể trở lại xác nhận từ đơn đặt hàng đã hoàn thành.",,
"Can't remove delivered detail line %s.","Không thể loại bỏ dòng chi tiết đã phân phối %s.",,
"Cancel","Hủy bỏ",,
"Cancel reason on changing sale order","Lý do hủy đơn bán hàng đã sửa đổi",,
"Cancel stock allocation ?","Hủy phân bổ kho?",,
"Cancelled","Bị hủy bỏ",,
"Carriage paid threshold","Ngưỡng thanh toán phí vận chuyển",,
"Carriage paid threshold is exceeded, all shipment cost lines are removed","Vượt quá ngưỡng thanh toán vận chuyển, tất cả các chi phí vận chuyển sẽ bị xóa",,
"Carrier","Vận chuyển",,
"Change allocated qty","Thay đổi số lượng được phân bổ",,
"Change requested reserved qty","Thay đổi số lượng đặt trước được yêu cầu",,
"Change reserved qty","Thay đổi số lượng đặt trước",,
"Check stocks in a sale order","Kiểm tra hàng tồn kho trong một đơn bán",,
"Code","Mã số",,
"Comment","Ghi chú",,
"Comments","Ghi chú",,
"Committed amount","Số tiền cam kết",,
"Committed total amount","Tổng số tiền cam kết",,
"Company","Công ty",,
"Complete sale order when all has been invoiced","Đơn bán hàng hoàn thành khi tất cả đã được lập hóa đơn",,
"Compute sub stock locations","Tính toán vị trí kho phụ",,
"Configuration","Cấu hình",,
"Confirm","Xác nhận",,
"Confirm Purchase order generation","Xác nhận tạo đơn mua hàng",,
"Confirmation","Xác nhận",,
"Confirmation date","Ngày xác nhận",,
"Confirmed","Đã xác nhận",,
"Consolidate the proposals per supplier","Hợp nhất các đề xuất cho mỗi nhà cung cấp",,
"Consume manuf order quantity","Số lượng đơn hàng sản xuất tiêu thụ",,
"Contact","Liên hệ",,
"Contact partner","Lien hệ đối tác",,
"Contract/Subscription","Hợp đồng/ Thuê bao",,
"Country","Quốc gia",,
"Create interco invoice as validated","Tạo hóa đơn interco như được xác thực",,
"Create interco purchase quotation as requested","Tạo báo giá mua hàng theo yêu cầu",,
"Create interco sale quotation as finalized","Tạo báo giá bán hàng khi hoàn thành",,
"Create purchase counterpart on this status","Tạo đối tác mua hàng ở trạng thái này",,
"Create sale counterpart on this status","Tạo đối tác bán hàng ở trạng thái này",,
"Created by","Được tạo bởi",,
"Created by interco","Được tạo bởi Interco",,
"Created from SOP","Được tạo ra từ SOP",,
"Created manually","ĐƯợc tạo thủ công",,
"Created on","Được tạo vào",,
"Cumulated invoiced %","Đã lập hóa đơn tích lũy %",,
"Cumulative qty","Số lượng tích lũy",,
"Current date","Ngày hiện tại",,
"Current date + days","Ngày hiện tại + ngày",,
"Customer","Khách hàng",,
"Customer Stock Move to invoice","Chuyển hàng cho KH chuyển sang hóa đơn",,
"Customer deliveries","Giao hàng tới KH",,
"Customer deliveries filters","Bộ lọc giao hàng tới KH",,
"Customer deliveries management","Quản lý giao hàng tới KH",,
"Customer delivery","Giao hàng tới KH",,
"Customer shipping carriage paid configuration","Cấu hình vận chuyển đã thanh toán của khách hàng",,
"Customs code nomenclature is missing on product %s.","Thiếu mã danh pháp hải quan trên sản phẩm %s",,
"DECLARATION OF EXCHANGES OF GOODS BETWEEN MEMBER STATES OF THE EUROPEAN COMMUNITY","Tuyên bố trao đổi hàng hóa giữa các quốc gia thành viên của cộng đồng châu Âu",,
"Dashlet.Moves","Điều chuyển kho",,
"Date","Ngày",,
"Date of shipment","Ngày giao hàng",,
"Days between firm and proposal purchase","Ngày chênh lệch giữa mua và đề xuất mua hàng",,
"Declaration of exchange filters","Bộ lọc tuyên bố giao dịch",,
"Declaration of exchanges","Tuyên bố giao dịch",,
"Declaration of exchanges of goods","Tuyên bố trao đổi hàng hóa",,
"Declarations of exchanges","Tuyên bố giao dịch",,
"Default estimated date in stock move from purchase order","Ngày ước tính mặc định chuyển kho của đơn mua hàng",,
"Default estimated date in stock move from sale order","Ngày ước tính mặc định chuyển kho của đơn bán hàng",,
"Delayed invoicing","Hóa đơn bị hoãn",,
"Delivered by","Giao hàng bởi",,
"Deliveries Cancelled","Giao hàng bị hủy",,
"Deliveries History","Lịch sử giao hàng",,
"Deliveries to prepare","Giao hàng cần chuẩn bị",,
"Delivery State","Trạng thái giao hàng",,
"Delivery conditions","Điều kiện giao hàng",,
"Delivery or receipt state","Trạng thái giao nhận hàng",,
"Delivery partner","Đối tác giao hàng",,
"Delivery state","Trạng thái giao hàng",,
"Description","Mô tả",,
"Direct order","Đặt hàng trực tiếp",,
"Direct order default stock location","Đặt hàng trực tiếp ở kho mặc định",,
"Direct order stock location","Đặt hàng trực tiếp ở kho",,
"Display product without proposal","Hiển thị sản phẩm không đề xuất",,
"Don't take in consideration for the stock calcul","Đừng xem xét tính toán kho",,
"Don't take in consideration on MRP","Đừng xem xét về MRP",,
"Draft","Bản thảo",,
"Edited by user","Được chỉnh sửa bởi người dùng",,
"Element","Yếu tố",,
"End date","Ngày kết thúc",,
"Entry of stock","Nhập kho",,
"Error : you have exceeded the budget %s for this period","Lỗi: Bạn đã vượt quá ngân sách %s trong giai đoạn này",,
"Error during the computation of MRP %s","Lỗi trong quá trình tính MRP %s",,
"Error generating subscription invoice(s): '%s'","Lỗi tạo hóa đơn đăng ký : '%s'",,
"Error that happened during the computation","Lỗi xảy ra trong quá trình tính ",,
"Estimated shipping date","Ngày vận chuyển ước tính",,
"European declaration of services","Tuyên bố dịch vụ châu Âu",,
"Exclude from MRP","Loại trừ từ MRP",,
"Expected realisation date","Ngày thực hiện dự kiến",,
"Expected/Future Quantity","Số lượng dự kiến/tương lai",,
"Expedition","Hành trình",,
"Export directory is not configured.","Thư mục xuất không được cấu hình.",,
"Field of application","Ứng dụng",,
"Filters","Bộ lọc",,
"Fiscal year","Năm tài chính",,
"FixedAsset.Location","Địa điểm",,
"Forecast date","Ngày dự báo",,
"Forecasted customer invoices","Dự báo hóa đơn KH",,
"Forecasted invoice customer account","Tài khoản KH cho hóa đơn",,
"Forecasted invoice supplier account","Tài khoản NCC cho hóa đơn",,
"Forecasted supplier invoices","Dự báo hóa đơn NCC",,
"Forecasts","Dự báo",,
"Format","Định dạng",,
"Forwarder","Người giao nhận",,
"Freight carrier mode","Hình thức vận tải",,
"From Date","Ngày bắt đầu",,
"From stock location","Kho lấy",,
"Future quantity","Số lượng tương lai",,
"Generate Invoice","Tạo hóa đơn",,
"Generate all proposals","Tạo tất cả các đề xuất",,
"Generate customer deliveries automatically","Tự động tạo giao hàng cho khách hàng",,
"Generate inc. moves for products","Tạo chuyển kho cho sản phẩm",,
"Generate inc. moves for services","Tạo chuyển kho cho dịch vụ",,
"Generate invoice from purchase order","Tạo hóa đơn từ đơn mua hàng",,
"Generate invoice from sale order","Tạo hóa đơn từ đơn bán hàng",,
"Generate invoice from stock move","Tạo hóa đơn từ điều chuyển kho",,
"Generate one invoice per incoming stockMove","Tạo hóa đơn cho hàng nhập kho",,
"Generate one invoice per outgoing stockMove","Tạo hóa đơn cho hàng xuất kho",,
"Generate out. moves for products","Tạo chuyển kho ra cho sản phẩm",,
"Generate out. moves for services","Tạo chuyển kho cho dịch vụ",,
"Generate proposal","Tạo đề xuất",,
"Generate purchase orders automatically","Tạo đơn mua hàng tự động",,
"Generate single invoice","Tạo hóa đơn",,
"Generate supplier arrivals automatically","Tự động tạo lượt đến của NCC",,
"Generate supply chain configurations","Tạo cấu hình chuỗi cung ứng",,
"Generate the invoice","Tạo hóa đơn",,
"Generated sale order","Đã tạo đơn hán hàng",,
"Has carriage paid possibility","Cho phép thanh toán phí vận chuyển",,
"Hide Unit Amounts","Ẩn số đơn vị",,
"Ideal Qty","Số lượng lý tưởng",,
"If true, after allocating quantity for a given stock move we allocate the remaining quantity in others stock moves.","Nếu đúng, sau khi phân bổ số lượng cho một hoạt động chuyển hàng, chúng tôi phân bổ số lượng còn lại trong các hoạt động chuyển hàng khác.",,
"If true, the requested quantity for reservation will be equal to the quantity of the given sale order line.","Nếu đúng, số lượng yêu cầu đặt trước sẽ bằng với số lượng của đơn đặt hàng đã cho.",,
"Ignore end date","Bỏ qua ngày kết thúc",,
"Include element without date","Bao gồm yếu tố không có ngày",,
"Include elements with a date later than MRP end date.","Bao gồm các phần tử có ngày muộn hơn ngày kết thúc MRP.",,
"Include in DEB","Bao gồm trong DEB",,
"Include not stock managed product","Bao gồm sản phẩm không quản lý trong kho",,
"Incorrect product in the stock move %s","Sản phẩm không chính xác trong chuyển kho %s",,
"Incoterm",,,
"Indicators","Chỉ số",,
"Information","Thông tin",,
"Insurance date credit","Ngày bảo hiểm tín dụng",,
"Interco","Interco",,
"Interco from invoice","Interco từ hóa đơn",,
"Interco from purchase","Interco từ mua hàng",,
"Interco from sale","Interco từ bán hàng",,
"Introduction","Giới thiệu",,
"Invoice","Hóa đơn",,
"Invoice %s type is not filled.","Loại hóa đơn %s không được chỉ định.",,
"Invoice all","Tất cả hóa đơn",,
"Invoice an advance payment","Hóa đơn thanh toán trước",,
"Invoice blocking","Chặn hóa đơn",,
"Invoice blocking reason","Lý do chặn hóa đơn",,
"Invoice blocking reasons","Lý do chặn hóa đơn",,
"Invoice controlled","Hóa đơn được kiểm soát",,
"Invoice created","Hóa đơn đã tạo",,
"Invoice generated","Hóa đơn được tạo",,
"Invoice on timetable","Hóa đơn trên thời gian biểu",,
"Invoice orders","Hóa đơn đặt hàng",,
"Invoice orders batch type","Loại lô hóa đơn đặt hàng",,
"Invoice orders configuration","Cấu hình hóa đơn đặt hàng",,
"Invoice outgoing stock moves","Hóa đơn xuất kho",,
"Invoice partially stock move","Hóa đơn chuyển kho từng phần",,
"Invoice selected lines","Lập hóa đơn cho các dòng đã chọn",,
"Invoiced","Lập hóa đơn",,
"Invoiced Qty","SLg theo chứng từ",,
"Invoiced by","Hóa đơn được lập bởi",,
"Invoiced partner","Đối tác lập hóa đơn",,
"Invoiced periods","Kì lập hóa đơn",,
"Invoices","Hóa đơn",,
"Invoicing","Hóa đơn",,
"Invoicing Blocking","Chặn lập hóa đơn",,
"Invoicing Date","Ngày lập hóa đơn",,
"Invoicing batch","Lô hóa đơn",,
"Invoicing blocked customer deliveries","Hàng giao khách bị chặn xuất hóa đơn",,
"Invoicing of this stock move is blocked.","Điều chuyển kho này bị chặn xuất hóa đơn",,
"Invoicing status","Trạng thái hóa đơn",,
"Is ISPM 15 required","Chuẩn ISPM 15 bắt buộc",,
"Is amount in %","Số tiền trong %s",,
"Is certificate of conformity required","Giấy chứng nhận phù hợp yêu cầu?",,
"Is merged stock move line","Điều chuyển kho đã hợp nhất?",,
"Is out day nb between purchase and proposal","Số ngày giữa mua hàng và đề xuất",,
"It is not possible to delete a stock move line with allocated or reserved quantity.","Không thể xóa dòng chuyển kho với số lượng đã phân bổ hoặc dự trữ.",,
"Label","Nhãn",,
"Late Deliveries","Giao hàng muộn",,
"Left empty","Để trống",,
"Line numberFiscal valueTaker",,,
"Line numberNomenclatureSource or destination countryFiscal valueRegimeNet massSupplementary unitNature of transactionMode of transportDepartmentCountry of originAcquirerProduct codeProduct namePartnerInvoice",,,
"Lines to invoice","Các dòng được lập hóa đơn",,
"Link type","Loại liên kết",,
"List","Danh sách",,
"LogisticalForm.customerCode","Mã KH",,
"LogisticalForm.customerName","Tên KH",,
"LogisticalForm.date","Ngày",,
"LogisticalForm.item","Mặt hàng",,
"LogisticalForm.itemDescription","Mô tả ",,
"LogisticalForm.packagingNumber","Mã đóng gói",,
"LogisticalForm.packingList","Danh sách đóng gói",,
"LogisticalForm.shippingComments","Ghi chú vận chuyển",,
"LogisticalForm.totalNetMass","tổng khối lượng tịnh",,
"LogisticalFormLine.numberOfParcels/Pallets: {0} - LogisticalForm.totalGrossMass ({1}): {2}",,,
"LogisticalFormLine.palletNo <strong>{0}</strong> - LogisticalFormLine.dimensions <strong>{1}</strong> - LogisticalFormLine.grossMass ({2}): <strong>{3}</strong>",,,
"LogisticalFormLine.parcelNo <strong>{0}</strong> - LogisticalFormLine.dimensions <strong>{1}</strong> - LogisticalFormLine.grossMass ({2}): <strong>{3}</strong>",,,
"LogisticalFormLine.qty","Số lượng",,
"LogisticalFormLine.stockMoveNo {0} / LogisticalFormLine.refNo {1}","LogisticalFormLine.StockMoveno {0} / LogisticalFormLine.Refno {1}",,
"MPS","Lịch trình sản xuất",,
"MRP","Hoạch định yêu cầu vật liệu",,
"MRP Type","Loại MRP",,
"MRP Types","Loại MRP",,
"MRP families","Gia đình MRP",,
"MRP family","Gia đình MRP",,
"MRP forecast","Dự báo MRP",,
"MRP forecasts","Dự báo MRP",,
"MRP move types","Các loại di chuyển MRP",,
"MRP number","Mã MRP",,
"MRP n°%s is now finished","Mã MRP %s hiện đã hoàn thành",,
"Manage advance payments from payment conditions","Quản lý thanh toán tạm ứng từ các điều kiện thanh toán",,
"Manage stock reservation","Quản lý đặt trước kho",,
"Managed by","Được quản lý bởi",,
"Managed for","Quản lý cho",,
"Mass Cust. Stock Move Invoicing","Hóa đơn chuyển kho của KH đại trà",,
"Mass Suppl. Stock Move Invoicing","Hóa đơn điều chuyển kho của NCC lớn",,
"Maturity","Đến kỳ hạn",,
"Maximum level","Mức tối đa",,
"Min qty","Số lượng tối thiểu",,
"Missing","Thiếu",,
"Missing link to sale order line (from sale order id = %s) for stock move line %s","Thiếu liên kết đến đơn mua hàng (từ id đơn bán hàng bán hàng = %s) của bản ghi chuyển kho %s",,
"Missing manuf order quantity","Thiếu số lượng đặt hàng sãn xuất",,
"Missing purchase order with id %s for stock move line %s","Thiếu đơn mua hàng với ID %s cho hoạt động điều chuyển kho %s",,
"Month","Tháng",,
"Move","Điều chuyển kho",,
"Move date","Ngày điều chuyển",,
"Move description","Mô tả điều chuyển kho",,
"Mrp","Kế hoạch yêu cầu vật liệu",,
"Mrp calculation is already on going.","Tính MRP đang được thực hiện",,
"Mrp line","Chi tiết kế hoạch yêu cầu vật liệu",,
"MrpList.code","Mã",,
"MrpList.createdOn","Ngày tạo",,
"MrpList.cumulativeQty","Lượng cộng dồn",,
"MrpList.endDate","Ngày kết thúc",,
"MrpList.forecastDate","Ngày dự kiến",,
"MrpList.forecastsTitle","Dự kiến",,
"MrpList.maturityDate","Ngày đến hạn",,
"MrpList.maxLevel","Mức tối đa",,
"MrpList.minQty","Số lượng tối thiểu",,
"MrpList.name","Tên",,
"MrpList.parentProductCategory","Danh mục sản phẩm chính",,
"MrpList.partner","Đối tác",,
"MrpList.price","Giá",,
"MrpList.product","Sản phẩm",,
"MrpList.productCategoriesTitle","Danh mục sản phẩm",,
"MrpList.productCategory","Danh mục sản phẩm",,
"MrpList.productFamiliesTitle","Tiêu đề họ sản phẩm",,
"MrpList.productFamily","Họ sản phẩm",,
"MrpList.productType","Loại sản phẩm",,
"MrpList.productsTitle","Sản phẩm",,
"MrpList.qty","Số lượng",,
"MrpList.relatedTo","Liên quan tới",,
"MrpList.saleOrdersTitle","Tiêu đề đơn mua hàng",,
"MrpList.salePrice","Giá bán",,
"MrpList.stockLocation","Kho hàng",,
"MrpList.title","Tiêu đề",,
"MrpList.totalATI","Tổng đã bao gồm thuế",,
"MrpList.totalWT","Tổng chưa thuế",,
"MrpList.type","Loại",,
"MrpList.unit","Đơn vị",,
"MrpWeeks.createdOn","Ngày tạo",,
"MrpWeeks.endDate","Ngfay kết thúc",,
"MrpWeeks.maxLevel","Mức tối đa",,
"MrpWeeks.product","Sản phẩm",,
"MrpWeeks.stockLocation","Kho hàng",,
"MrpWeeks.title","Tiêu đề",,
"MrpWeeks.unit","Đơn vị",,
"MrpWeeks.week","Tuần",,
"Name","Tên",,
"Nbr of days","Số ngày",,
"No default supplier is defined for the product %s","Không có nhà cung cấp mặc định nào được xác định cho sản phẩm %s",,
"No delivery stock move to generate for this purchase order","Không có giao hàng nào được tạo cho đơn bán hàng này",,
"No delivery stock move to generate for this sale order","Không có giao hàng nào được tạo cho đơn mua hàng này",,
"No invoice was generated","Không có hóa đơn nào được tạo ra",,
"No stock location valid. Please uncheck the chosen stock location 'is not in MRP'.","Không có kho hợp lệ. Vui lòng bỏ chọn 'không có trong MRP'.",,
"Not enough quantity are available for reservation for product %s (%s)","Không đủ số lượng có sẵn để đặt trước cho sản phẩm %s ( %s)",,
"Not invoiced","Không lập hóa đơn",,
"Note","Ghi chú",,
"Number of Product per Accounting Family","Số lượng sản phẩm cho mỗi họ kế toán",,
"Number of Product per Category","Số lượng sản phẩm trên mỗi danh mục",,
"Number of days","Số ngày",,
"OK",,,
"One-off sale outgoing quantity","Bán hết một lần số lượng gửi đi",,
"One-off sales","Bán hết một lần",,
"One-off sales excluded","Bán hết một lần loại trừ",,
"One-off sales included","Bán hết một lần bao gồm",,
"One-off sales only","Chỉ bán hết một lần",,
"Operation choice","Lựa chọn hoạt động",,
"Order %s","Đặt hàng %s",,
"Order invoicing report:","Báo cáo hóa đơn đặt hàng:",,
"Order up to date","Đặt hàng đến ngày",,
"Order(s) processed","Đơn hàng được xử lý",,
"Ordered by","Đặt hàng bởi",,
"Origin","Xuất xứ",,
"Origins","Xuất xứ",,
"Out of stock","Hết hàng",,
"Outgoing quantity (One-off sale excluded)","Số lượng đi (loại trừ bán một lần)",,
"Outgoing stock move invoicing report:","Báo cáo hóa đơn xuất kho:",,
"PFP Status","Trạng thái PFP",,
"PO line","Chi tiết PO",,
"Pack lines","Chi tiết đóng gói",,
"Packing list","Danh sách đóng gói",,
"Parent Stock location","Kho hàng chính",,
"Parent line","Dòng chính",,
"Partial invoicing of outgoing stock move with tracking number activated is not supported.","Không hỗ trợ lập hóa đơn từng phần đối với việc xuất kho theo số theo dõi được kích hoạt.",,
"Partially invoiced","Lập hóa đơn một phần",,
"Partner","Đối tác",,
"Partner is missing on stock move %s.","Đối tác bị thiếu ở chuyển kho %s.",,
"Partner relations type","Loại quan hệ đối tác",,
"Partner relations types","Loại quan hệ đối tác",,
"Payment condition","Điều kiện thanh toán",,
"Payment mode","Phương thức thanh toán",,
"Percentage","%",,
"Period","Giai đoạn",,
"Picking Order Info","Chọn thông tin đơn hàng",,
"Planned stock move lines","Chi tiết kế hoạch chuyển kho",,
"Please configure a correct value for the sale order date used for reservation.","Vui lòng cấu hình một giá trị chính xác cho ngày mua hàng được sử dụng để đặt trước.",,
"Please configure the advance payment account for the company %s","Vui lòng cấu hình tài khoản thanh toán trước cho công ty %s",,
"Please configure the advance payment product","Vui lòng cấu hình sản phẩm thanh toán trước",,
"Please configure the sale order invoicing product","Vui lòng cấu hình hóa đơn bán sản phẩm",,
"Please confirm the sale order before invoicing.","Vui lòng xác nhận đơn đặt hàng trước khi lập hóa đơn.",,
"Please do not enter negative quantity for reservation.","Vui lòng không nhập số lượng âm để đặt trước.",,
"Please enter amount to invoice.","Vui lòng nhập số tiền vào Hóa đơn.",,
"Please fill a quantity to invoice.","Vui lòng điền số lượng vào hóa đơn.",,
"Please fill unit for product %s","Vui lòng điền đơn vị cho sản phẩm %s",,
"Please generate a stock move for this sale order before modifying allocated quantity.","Vui lòng tạo một hoạt động điều chuyển kho cho đơn bán hàng này trước khi sửa đổi số lượng được phân bổ.",,
"Please select an element to run calculation","Vui lòng chọn một phần tử để chạy phép tính",,
"Please uncheck picking order edited box from this stock move from Cust. Shipment to prepare menu entry.","Vui lòng bỏ chọn đơn hàng đã sửa từ menu 'Lô hàng của KH cần chuẩn bị'",,
"Please validate the purchase order before invoicing.","Vui lòng xác thực đơn mua hàng trước khi lập hóa đơn.",,
"Please, select a currency for the order %s","Xin vui lòng, chọn đơn vị tiền cho đơn hàng %s",,
"Please, select a supplier for the line %s","Xin vui lòng, chọn một NCC cho dòng %s",,
"Print","In",,
"Product","Sản phẩm",,
"Product Accounting Family","Họ kế toán sản phẩm",,
"Product Category","Danh mục sản phẩm",,
"Product Type","Loại sản phẩm",,
"Product categories","Danh mục sản phẩm",,
"Product families","Họ sản phẩm",,
"Product is missing.","Sản phẩm bị thiếu.",,
"Product launches/withdrawal each month","Sản phẩm ra mắt/ thu hồi mỗi tháng",,
"Product stock for %s is not enough for availability request","Tồn kho sản phẩm cho %s là không đủ yêu cầu",,
"Product type","Loại sản phẩm",,
"Product type distribution","Phân phối loại sản phẩm",,
"Products","Sản phẩm",,
"Products DB 1","Sản phẩm DB 1",,
"Products Details","Chi tiết sản phẩm",,
"Projected Stock","Tồn kho sản phẩm",,
"Projected stock","Tồn kho sản phẩm",,
"Proposal","Đề xuất",,
"Proposal generated","Đề xuất đã được tạo",,
"Proposal select","Đề xuất chọn",,
"Proposals have been generated successfully.","Các đề xuất đã được tạo ra thành công.",,
"Purchase order","Đơn hàng mua",,
"Purchase order line","Chi tiết đơn hàng mua",,
"Purchase order or sale order without estimated delivery date and manufacturing order without planned date. In this case, we use the MRP start date (today)","Đơn hàng mua hoặc đơn hàng bán không có ngày giao hàng dự kiến và đơn đặt hàng sản xuất không có ngày lên kế hoạch. Trong trường hợp này, chúng tôi sử dụng ngày bắt đầu MRP (hôm nay)",,
"Purchase order quantity","Số lượng đơn hàng mua",,
"Purchase order without incoming stock move","Đơn hàng mua mà không cần chuyển kho đến",,
"Purchase order without stock move","Đơn hàng mua mà không cần chuyển kho",,
"Purchase orders","Đơn hàng mua",,
"Purchase proposal","Đề xuất mua hàng",,
"Purchases orders","Đơn hàng mua",,
"Qty","Số lượng",,
"Qty to invoice","Sô lượng lập hóa đơn",,
"Quantity cannot be lower than already delivered quantity on detail line %s.","Số lượng không thể thấp hơn số lượng đã giao trên dòng chi tiết %s.",,
"Quantity requested","Số lượng yêu cầu",,
"Real Qty","Số lượng thực",,
"Real quantity","Số lượng thực",,
"Real/Current Quantity","Số lượng thực/hiện tại",,
"Receipt state","Trạng thái biên lai",,
"Recovered tax","Thuế đã thu hồi",,
"Ref","Tham chiếu",,
"Refill Qty","Số lượng nạp lại",,
"Related to","Liên quan tới",,
"Related to select","Liên quan đến lựa chọn",,
"Relation 1","Quan hệ 1",,
"Relation 2","Quan hệ 2",,
"Remaining Qty","Số lượng còn lại",,
"Reports","Báo cáo",,
