"key","message","comment","context"
"Duration(hours by day)","Thời lượng (giờ/ngày)",,
"Duration(in day per day)","Thời lượng (tính bằng ngày)",,
"Duration(minutes by day)","Thời lượng (phút/ngày)",,
"E-MAIL",,,
"ETAB",,,
"ETRANGER",,,
"Early termination","Chấm dứt sớm",,
"Edit Expense Selected","Chỉnh sửa Chi phí đã Chọn",,
"Edit Leave Request Selected","Chỉnh sửa Yêu cầu nghỉ phép đã Chọn",,
"Edit Start&Stop Timer On Stop","Chỉnh sửa bộ hẹn giờ khi dừng",,
"Edit Timesheet Selected","Chỉnh sửa bảng chấm công được chọn",,
"Edit extra hours selected","Chỉnh sửa làm thêm giờ được chọn",,
"Editor","Biên tập viên",,
"Electronic card","Thẻ từ",,
"Email reminder for timesheet filling batch","Email nhắc nhở điền vào bảng chấm công",,
"Email reminder for timesheets","Email nhắc nhở cho bảng chấm công",,
"Email sent date","Ngày gửi email",,
"Email sent to %s","Email được gửi đến %s",,
"Emails","Email",,
"Emergency contact","Liên hệ khẩn cấp",,
"Emergency contact relationship",,,
"Employee","Nhân viên",,
"Employee %s is not allowed to take leave in advance.","Nhân viên %s không được phép nghỉ phép trước.",,
"Employee PhoneBook","Danh bạ nhân viên",,
"Employee advance","Nhân viên tạm ứng",,
"Employee advance list","Danh sách nhân viên tạm ứng",,
"Employee advance usage",,,
"Employee advances","Nhân viên tạm ứng",,
"Employee bonus","Tiền thưởng nhân viên",,
"Employee bonus amount","Số tiền thưởng của nhân viên",,
"Employee bonus management","Quản lý tiền thưởng nhân viên",,
"Employee bonus management filters","Bộ lọc quản lý tiền thưởng nhân viên",,
"Employee bonus mgt","Nhân viên thưởng Mgt",,
"Employee bonus type","Loại tiền thưởng nhân viên",,
"Employee bonuses","Tiền thưởng nhân viên",,
"Employee filters","Bộ lọc nhân viên",,
"Employee firstname","Họ",,
"Employee lastname","Tên",,
"Employee status","Tình trạng",,
"Employee vehicle list","Danh sách phương tiện",,
"Employee's other costs","Chi phí khác của nhân viên",,
"Employee.annualReportOf","Báo cáo thường niên",,
"Employee.company","Công ty",,
"Employee.contract","Hợp đồng",,
"Employee.contractType","Loại hợp đồng",,
"Employee.country","Quê",,
"Employee.dailyCost","Chi phí hàng ngày",,
"Employee.dailyWork","Công việc hàng ngày",,
"Employee.department","Phòng",,
"Employee.departureDate","Ngày đi",,
"Employee.dob","Ngày sinh",,
"Employee.emergencyContact","Liên hệ khẩn cấp",,
"Employee.emergencyNumber","Số khẩn cấp",,
"Employee.endDate","Ngày kết thúc",,
"Employee.entryDate","Ngày vào làm",,
"Employee.martialStatus","tình trạng hôn nhân",,
"Employee.personalInformations","Thông tin cá nhân",,
"Employee.phoneAtCustomer","Điện thoại khách hàng",,
"Employee.position","Vị trí",,
"Employee.positionList","Danh sách vị trí",,
"Employee.resume","Sơ yếu lý lịch",,
"Employee.startDate","Ngày bắt đầu",,
"Employee.weeklyWork","Công việc hàng tuần",,
"EmployeeTimesheet.fromDate","Ngày bắt đầu",,
"EmployeeTimesheet.toDate","Ngày kết thúc",,
"EmployeeTimesheet.user","Người dùng",,
"EmployeeTimesheet.weekTotal","Tổng số tuần",,
"Employees","Nhân viên",,
"Employees Management","Quản lý nhân viên",,
"Employees computed: %d","Nhân viên đã tính: %d",,
"Employees failed to be computed due to anomaly: %d","Không tính được nhân viên do dị thường:% d",,
"Employees management","Quản lý nhân viên",,
"Employees' leaves attempted to be computed : %s","Ngày nghỉ của nhân viên đã được tính toán: %s",,
"Employees' leaves failed to be computed due to configuration anomaly : %s","Không tính được nghỉ phép của nhân viên do cấu hình bất thường:% s",,
"Employees' leaves failed to be computed due to missing data : %s","Không tính được nghỉ phép của nhân viên do thiếu dữ liệu:% s",,
"Employees' leaves successfully computed : %s","Nghỉ phép nhân viên được tính thành công: %s",,
"Employees' other costs","Các chi phí khác của nhân viên",,
"Employment","Nhân viên",,
"Employment Contract Templates","Mẫu hợp đồng lao động",,
"Employment Contracts","Hợp đồng lao động",,
"Employment contract","Hợp đồng lao động",,
"Employment contract export batch","Xuất đồng thời hợp đồng lao động",,
"Employment contract template","Mẫu hợp đồng lao động",,
"Employment contract templates","Mẫu hợp đồng lao động",,
"Employment contract type","Loại hợp đồng lao động",,
"Employment contract types","Loại hợp đồng lao động",,
"Employment contracts","Hợp đồng lao động",,
"Employment contracts exported : %s","Các hợp đồng lao động đã xuất: %s",,
"Employment contracts/Contract amendments","HĐ lao động / HĐ sửa đổi",,
"Employment.name","Tên",,
"EmploymentAmendmentType.companies","Công ty",,
"EmploymentAmendmentType.endDate","Ngày kết thúc",,
"EmploymentAmendmentType.name","Tên",,
"EmploymentContractSubType.description","Mô tả",,
"EmploymentContractType.description","Mô tả",,
"EmploymentContractType.name","Tên",,
"Employments","Nhân viên",,
"Enable DPAE","Bật DPAE",,
"Enable activity","Cho phép hoạt động",,
"Enable editor","Bật trình chỉnh sửa",,
"End Date","Ngày kết thúc",,
"End On","Kết thúc vào",,
"End date","Ngày cuối",,
"End date of hire","Ngày kết thúc hợp đồng",,
"End of contract","Kết thúc hợp đồng",,
"End of contract reason","Lý do kết thúc hợp đồng",,
"End of contract reasons","Lý do kết thúc hợp đồng",,
"End of month","Cuối tháng",,
"End of the week","Cuối tuần",,
"End time","Thời gian kết thúc",,
"Establishment of the employer","Thiết lập của nhà tuyển dụng",,
"Event","Sự kiện",,
"Exclude timesheet editor","Loại trừ trình chỉnh sửa bảng chấm công",,
"Executive","Điều hành",,
"Executive Status","Tình trạng điều hành",,
"Executive status","Tình trạng điều hành",,
"Expense","Chi phí",,
"Expense Journal","Nhật ký chi phí",,
"Expense Notification Mail","Thư thông báo chi phí",,
"Expense N°","Số mã chi phí",,
"Expense Per Employee","Chi phí cho mỗi nhân viên",,
"Expense Sequence","Mã tăng số chi phí",,
"Expense Templates","Mẫu chi phí",,
"Expense Type","Loại phí",,
"Expense date","Ngày phát sinh",,
"Expense filters","Bộ lọc chi phí",,
"Expense line","Chi tiết chi phí",,
"Expense lines","Chi tiết chi phí",,
"Expense paid with company's credit card","Chi phí thanh toán bằng thẻ tín dụng của công ty",,
"Expense tax account","Tài khoản thuế chi phí",,
"Expense type","Loại chi phí",,
"Expense types","Loại chi phí",,
"Expense.advanceAmount","Số tiền tạm ứng",,
"Expense.comments","Ghi chú",,
"Expense.companyCbSelect",,,
"Expense.currency","Đơn vị tiền",,
"Expense.employeeName","Tên nhân viên",,
"Expense.employeeSignature","Chữ kí nhân viên",,
"Expense.employerSignature","Chữ kí nhân viên",,
"Expense.expenseDate",,,
"Expense.expenseOf","Chi phí của",,
"Expense.multipleUsers","Nhiều người dùng",,
"Expense.period","Kì",,
"Expense.personalExpenseAmount","Tổng chi phí cá nhân",,
"Expense.total","Tổng",,
"Expense.totalA.T.I","Tổng A.T.I",,
"Expense.totalAmount","Tổng tiền",,
"Expense.totalToRefund","Tổng tiền trả lại",,
"Expense.withdrawnCash","Rút tiền mặt",,
"ExpenseLine.amount","Số tiền",,
"ExpenseLine.cityFrom","Từ thành phố",,
"ExpenseLine.cityTo","Đến thành phố",,
"ExpenseLine.client","Khách hàng",,
"ExpenseLine.distance","Khoảng cách",,
"ExpenseLine.expenseDate","Ngày mở rộng",,
"ExpenseLine.expenseType","Loại mở rộng",,
"ExpenseLine.kilometricAllowParam","Tham số cho phép km",,
"ExpenseLine.kilometricExpenseType","Loại chi phí km",,
"ExpenseLine.no","Mã số",,
"ExpenseLine.project","Dự án",,
"ExpenseLine.toInvoice","Hóa đơn",,
"ExpenseLine.totalTax","Tổng thuế",,
"ExpenseLine.untaxedAmount","Tổng tiền chưa thuế",,
"ExpenseLine.yes","Đúng",,
"Expenses","Chi phí",,
"Expenses amount to pay","Chi phí phải trả",,
"Expenses to Validate","Chi phí cần xác nhận",,
"Expenses to Ventilate","Chi phí cần làm rõ",,
"Expenses to be Validated by your subordinates","Chi phí được xác thực bởi cấp dưới của bạn",,
"Experience duration","Thời gian kinh nghiệm",,
"Expiration date","Ngày hết hạn",,
"Export","Xuất",,
"Export CSV","Xuất ra CSV",,
"Export code",,,
"Export code for duration","Mã xuất trong thời gian",,
"Export code for extra hour management","Mã xuất khẩu để quản lý làm thêm giờ",,
"Export code for lunch voucher management","Mã xuất khẩu cho quản lý phiếu ăn trưa",,
"Export date","Ngày xuất",,
"Export des salariés",,,
"Export employment contract","Xuất hợp đồng lao động",,
"Export for payroll preparation","Xuất để lập bảng lương",,
"Export payroll preparation","Xuất bảng lương",,
"Export type","Loại xuất",,
"Exported","Đã xuất",,
"Exports","Xuất",,
"Extension Amendment","Bản sửa đổi mở rộng",,
"Extension and Miscellaneous Amendment","Gia hạn và sửa đổi khác",,
"External","Bên ngoài",,
"Extra Hours","Làm thêm giờ",,
"Extra Hours Notification Mail","Thư thông báo làm thêm giờ",,
"Extra Hours Templates","Mẫu làm thêm giờ",,
"Extra hours","Làm thêm giờ",,
"Extra hours filters","Bộ lọc làm thêm giờ",,
"Extra hours to Validate","Xác nhận làm thêm giờ",,
"Extra hours to be Validated by your subordinates","Xác nhận làm thêm giờ bởi cấp dưới",,
"Extra hours to validate","Xác nhận làm thêm giờ",,
"Extra hours type","Loại làm thêm giờ",,
"Extra hours' number","Số giờ làm thêm",,
"ExtraHours","Làm thêm giờ",,
"F","Nữ",,
"File","Tập tin",,
"File type","Loại tệp",,
"File types","Loại tệp",,
"Files","Tệp tin",,
"Finish","Hoàn thành",,
"Finished","Hoàn thành",,
"First name","Họ",,
"Fiscal periods","Kì tài chính",,
"Fiscal year","Năm tài chính",,
"Follow-up","Theo dõi",,
"For foreign-born employees, please enter the code 99","Đối với nhân viên là người nước ngoài, vui lòng nhập mã 99",,
"Former employee","Nhân viên cũ",,
"Former employees","Nhân viên cũ",,
"Formula","Công thức",,
"Formula variables configuration","Cấu hình biến công thức",,
"Friday","Thứ sáu",,
"From","Từ",,
"From Date","Ngày bắt đầu",,
"From date","Ngày bắt đầu",,
"From date can't be empty","Ngày bắt đầu không thể trống",,
"From generation date","Từ ngày tạo",,
"Full name","Tên đầy đủ",,
"Fullscreen Editor","Trình chỉnh sửa toàn màn hình",,
"General","Chung",,
"General Expense","Chi phí chung",,
"General Expenses","Chi phí chung",,
"General expense lines","Chi tiết chi phí chung",,
"General expenses","Chi phí chung",,
"Generate Lines From Expected Planning","Tạo bản ghi từ kế hoạch dự kiến",,
"Generate Lines automatically","Tạo các bản ghi tự động",,
"Generate human resource configurations","Tạo cấu hình nguồn nhân lực",,
"Generate lines","Tạo bản ghi",,
"Generate new DPAE","Tạo DPAE mới",,
"Generate payroll prepa.","Tạo lập bảng lương.",,
"Generate periods","Tạo kì",,
"Given","Đưa ra",,
"Given lunch vouchers on the period","Được cung cấp phiếu ăn trưa trong kỳ",,
"Given to Employee","Cung cấp cho nhân viên",,
"Google Maps error: %s","Lỗi bản đồ Google: %s",,
"Ground For Refusal","Căn cứ từ chối",,
"Ground for refusal","Căn cứ từ chối",,
"HR","Nhân sự",,
"HR Batch",,,
"HR batch filters","Bộ lọc hàng loạt nhân sự",,
"HR batches",,,
"HR config","Cấu hình nhân sự",,
"HR information","Thông tin nhân sự",,
"HR manager","Giám đốc nhân sự",,
"Hardship allowance","Trợ cấp khó khăn",,
"Health mutual","Sức khỏe chung",,
"Health mutual rejection reason","Lý do từ chối về sức khỏe",,
"Health mutual rejection reasons","Lý do từ chối về sức khỏe",,
"Health service","Dịch vụ sức khỏe",,
"Health service address","Địa chỉ dịch vụ y tế",,
"Historic colleague Expenses","Lịch sử chi phí đồng nghiệp",,
"Historic colleague Timesheets","Lịch sử chấm công đồng nghiệp",,
"Historic colleague extra hours","Lịch sử làm thêm giờ đồng nghiệp",,
"Historic extra hours","Lịch sử làm thêm giờ",,
"Historic team Expenses","Lịch sử chi phí của nhóm",,
"Historic team leave requests","Lịch sử yêu cầu nghỉ phép của nhóm",,
"Historic team timesheets","Lịch sử bảng chấm công nhóm",,
"Holiday","Ngày lễ",,
"Hourly complement","Bổ sung hàng giờ",,
"Hourly gross salary","Tổng lương theo giờ",,
"Hourly rate","Đánh giá hàng giờ",,
"Hours","Giờ",,
"Hours distribution","Phân bổ giờ",,
"Hr batch",,,
"Hr config","Cấu hình nhân sự",,
"HrConfig","Cấu hình nhân sự",,
"Human Resource Manager","Giám đốc nhân sự",,
"Human Resource config (${ name })","Cấu hình ($ {name})",,
"Human Resources Manager","Giám đốc nhân sự",,
"Human Resources User","Người sử dụng nguồn nhân lực",,
"Human Resources configuration","Cấu hình nguồn nhân lực",,
"Human Resources configurations","Cấu hình nguồn nhân lực",,
"Human resource configurations","Cấu hình nguồn nhân lực",,
"Imposed holidays planning","Lập kế hoạch cho các kỳ nghỉ",,
"In Trial","Thử việc",,
"In advance","Trước",,
"Inactive","Không hoạt động",,
"Include in turnover forecast","Bao gồm trong dự báo doanh thu",,
"Increase %","Tăng %",,
"Information","Thông tin",,
"Inject","Tiêm",,
"Inject/Consume","Tiêm / Tiêu thụ",,
"Instruction","Hướng dẫn",,
"Internal description","Mô tả nội bộ",,
"Invalid date","Ngày không hợp lệ",,
"Invalid date periods","Thời gian ngày không hợp lệ",,
"Invalid date, it can't be in the future","Ngày không hợp lệ, không thể là ngày trong tương lai",,
"Invalid dates","Ngày không hợp lệ",,
"Invalid duration (must be a 0.5's multiple)","Thời lượng không hợp lệ (phải là bội số của 0,5)",,
"Invitation","Thư mời",,
"Invoiced","Đã lập hóa đơn",,
"Invoicing Type for Log Times","Loại hóa đơn cho nhật ký",,
"Justification","Biện minh",,
"K.A.P.",,,
"Keep Project for Start&Stop Timer","Giữ dự án cho bộ đếm giờ",,
"Kilometric Allowance","Phụ cấp km",,
"Kilometric Allowance Param","Tham số trợ cấp km",,
"Kilometric Allowance Params","Tham số trợ cấp km",,
"Kilometric Allowances","Phụ cấp km",,
"Kilometric allowance list","Danh sách trợ cấp km",,
"Kilometric allowance rate","Mức phụ cấp km",,
"Kilometric allowance rates","Mức phụ cấp km",,
"Kilometric allowance rule","Quy tắc phụ cấp km",,
"Kilometric allowance rule list","Danh sách quy tắc phụ cấp km",,
"Kilometric allowance rules","Quy tắc phụ cấp km",,
"Kilometric expense product","Chi phí sản phẩm theo km",,
"Kilometric lines","Hàng km",,
"Kilometric log","Nhật ký km",,
"Kilometric log list","Sổ nhật kí km",,
"Kilometrice Allowance Param","Tham số trợ cấp km",,
"Kilometrice Allowance Params","Tham số trợ cấp km",,
"Kilometrice log","Nhật ký kmetrice",,
"LIEU",,,
"Label","Nhãn mác",,
"Last name","Tên",,
"Leave Batch rules","Quy tắc nghỉ phép theo đợt",,
"Leave List","Danh sách nghỉ phép",,
"Leave Management","Quản lí nghỉ phép",,
"Leave Management Batch Rule","Quy tắc quản lí nghỉ phép theo đợt",,
"Leave Management Reset","Đặt lại quản lí nghỉ phép",,
"Leave Per Employee","Nghỉ phép của mỗi nhân viên",,
"Leave Reason","Lý do nghỉ phép",,
"Leave Reason for Leave to justify",,,
"Leave Request","Yêu cầu nghỉ phép",,
"Leave Request Notification Mail","Mail thông báo yêu cầu nghỉ phép",,
"Leave Requests","Yêu cầu nghỉ phép",,
"Leave Requests to Validate","Xác nhận yêu cầu nghỉ phép",,
"Leave accounts","Tài khoản nghỉ phép",,
"Leave counter reset","Đặt lại bộ đếm nghỉ phép",,
"Leave day number","Số ngày nghỉ phép",,
"Leave days' number","Số ngày nghỉ phép",,
"Leave line","Chi tiết nghỉ phép",,
"Leave management","Quản lí nghỉ phép",,
"Leave management batch","Đợt quản lí nghỉ phép",,
"Leave management batch rule list","Danh sách quy tắc đợt quản lí nghỉ phép",,
"Leave period","Kì nghỉ phép",,
"Leave reason","Lí do nghỉ phép",,
"Leave reason and day number have to be defined","Lí do nghỉ phép và số ngày nghỉ phải được xác định",,
"Leave request","Lí do nghỉ phép",,
"Leave request filters","Bộ lọc yêu cầu nghỉ phép",,
"Leave to justify","Nghỉ phép để biện minh",,
"LeaveRequest","Yêu cầu nghỉ phép",,
"Leaves","Nghỉ phép",,
"Leaves Management","Quản lí nghỉ phép",,
"Leaves Templates","Mẫu nghỉ phép",,
"Leaves and timesheets","Nghỉ phép và bảng châm công",,
"Leaves calendar","Lịch nghỉ phép",,
"Leaves to be Validated by your subordinates","Nghỉ phép được xác nhận bởi cấp dưới",,
"Leaving date","Ngày nghỉ phép",,
"Level","Mức độ",,
"Line will be attached to a subsequent timesheet","Bản ghi sẽ được đính kèm vào bảng chấm công tiếp theo",,
"Lines Generation Wizard","Trình hướng dẫn tạo bản ghi",,
"List of employees","Danh sách nhân viên",,
"Log Time","Thời gian đăng nhập",,
"Log Times","Thời gian đăng nhập",,
"Log time","Thời gian đăng nhập",,
"Logged Time","Thời gian đăng nhập",,
"Login","Đăng nhập",,
"Lunch Voucher","Phiếu ăn trưa",,
"Lunch Voucher Employer's Share",,,
"Lunch Voucher Format","Định dạng phiếu ăn trưa",,
"Lunch Voucher Line",,,
"Lunch Voucher Lines",,,
"Lunch Voucher Management","Quản lý phiếu ăn trưa",,
"Lunch Voucher Wage Share","Chia sẻ tiền lương từ phiếu ăn trưa",,
"Lunch Voucher format","Định dạng phiếu ăn trưa",,
"Lunch Voucher's number","Số phiếu ăn trưa",,
"Lunch Vouchers","Phiếu ăn trưa",,
"Lunch voucher advance","Ứng trước phiếu ăn trưa",,
"Lunch voucher advances","Voucher ăn trưa tiến bộ",,
"Lunch voucher management filters","Bộ lọc quản lý phiếu ăn trưa",,
"Lunch voucher supplier","Nhà cung cấp phiếu ăn trưa",,
"Lunch vouchers","Phiếu ăn trưa",,
"Lunch vouchers distributed","Phiếu ăn trưa được phân phát",,
"Lunch vouchers used","Phiếu ăn trưa được sử dụng",,
"Lunch vouchers' number","Số phiếu ăn trưa",,
"LunchVoucher.amount","Tổng số",,
"LunchVoucher.comment","Ghi chú",,
"LunchVoucher.employeeShare","Nhân viên chia sẻ",,
"LunchVoucher.employerShare","Nhà tuyển dụng chia sẻ",,
"LunchVoucher.handedOn","Bàn giao",,
"LunchVoucher.leavesFrom","Rời khỏi",,
"LunchVoucher.lvFrom",,,
"LunchVoucher.month","Tháng",,
"LunchVoucher.names","Tên",,
"LunchVoucher.qty","Số lượng",,
"LunchVoucher.signature","Chữ kí",,
"LunchVoucher.signatureDocument","Chữ kí văn bản",,
"LunchVoucher.subtotal","Tổng từng phần",,
"LunchVoucher.to",,,
"LunchVoucher.total","Tổng số",,
"LunchVoucherCommand","Phiếu ăn trưa đặt hàng",,
"M","Nam",,
"MATRICULE","SỐ ĐĂNG KÝ",,
"Maiden name","Tên thời con gái",,
"Main","Chính",,
"Main activity code","Mã hoạt động chính",,
"Main employment contract","Hợp đồng lao động chính",,
"Main employment contract status","Tình trạng hợp đồng lao động",,
"Manage Accumulation","Quản lý tích lũy",,
"Manager","Quản lí",,
"Marital name",,,
"Marital status","Tình trạng hôn nhân",,
"Married","Đã kết hôn",,
"Mass export list","Danh sách xuất hàng loạt",,
"Maximum Condition","Điều kiện tối đa",,
"Maximum value for hours exceeded (configure daily work hours in employee)","Đã vượt quá số giờ quy định (cấu hình giờ làm việc hàng ngày trong Nhân viên)",,
"Messages","Tin nhắn",,
"Min monthly remuneration","Thù lao hàng tháng tối thiểu",,
"Minimum Condition","Điều kiện tối thiểu",,
